

New grid search run:
Combination ID=55: Loss=mse, Metric=mse, Epochs=100, Activation=tanh, Optimizer=sgd, Neurons=5, Layers=1, Final training loss=0.040639977902173996, Final validation loss=0.033695511519908905, Final training metric=0.040639977902173996, Final validation metric=0.033695511519908905, Number of parameters=16
Combination ID=56: Loss=mse, Metric=mse, Epochs=100, Activation=tanh, Optimizer=sgd, Neurons=5, Layers=2, Final training loss=0.016595114022493362, Final validation loss=0.01572030410170555, Final training metric=0.016595114022493362, Final validation metric=0.01572030410170555, Number of parameters=46
Combination ID=57: Loss=mse, Metric=mse, Epochs=100, Activation=tanh, Optimizer=sgd, Neurons=5, Layers=3, Final training loss=0.014417472295463085, Final validation loss=0.015468289144337177, Final training metric=0.014417472295463085, Final validation metric=0.015468289144337177, Number of parameters=76
Combination ID=58: Loss=mse, Metric=mse, Epochs=100, Activation=tanh, Optimizer=sgd, Neurons=10, Layers=1, Final training loss=0.06343382596969604, Final validation loss=0.054798711091279984, Final training metric=0.06343382596969604, Final validation metric=0.054798711091279984, Number of parameters=31
Combination ID=59: Loss=mse, Metric=mse, Epochs=100, Activation=tanh, Optimizer=sgd, Neurons=10, Layers=2, Final training loss=0.02105673961341381, Final validation loss=0.018731379881501198, Final training metric=0.02105673961341381, Final validation metric=0.018731379881501198, Number of parameters=141
Combination ID=60: Loss=mse, Metric=mse, Epochs=100, Activation=tanh, Optimizer=sgd, Neurons=10, Layers=3, Final training loss=0.013534107245504856, Final validation loss=0.014106417074799538, Final training metric=0.013534107245504856, Final validation metric=0.014106417074799538, Number of parameters=251
Combination ID=61: Loss=mse, Metric=mse, Epochs=100, Activation=tanh, Optimizer=sgd, Neurons=20, Layers=1, Final training loss=0.06066790595650673, Final validation loss=0.05105137079954147, Final training metric=0.06066790595650673, Final validation metric=0.05105137079954147, Number of parameters=61
Combination ID=62: Loss=mse, Metric=mse, Epochs=100, Activation=tanh, Optimizer=sgd, Neurons=20, Layers=2, Final training loss=0.022426743060350418, Final validation loss=0.019754674285650253, Final training metric=0.022426743060350418, Final validation metric=0.019754674285650253, Number of parameters=481
Combination ID=63: Loss=mse, Metric=mse, Epochs=100, Activation=tanh, Optimizer=sgd, Neurons=20, Layers=3, Final training loss=0.014622108079493046, Final validation loss=0.014995190314948559, Final training metric=0.014622108079493046, Final validation metric=0.014995190314948559, Number of parameters=901
Combination ID=64: Loss=mse, Metric=mse, Epochs=100, Activation=tanh, Optimizer=rmsprop, Neurons=5, Layers=1, Final training loss=0.06366893649101257, Final validation loss=0.053135354071855545, Final training metric=0.06366893649101257, Final validation metric=0.053135354071855545, Number of parameters=16
Combination ID=65: Loss=mse, Metric=mse, Epochs=100, Activation=tanh, Optimizer=rmsprop, Neurons=5, Layers=2, Final training loss=0.01643606461584568, Final validation loss=0.016599053516983986, Final training metric=0.01643606461584568, Final validation metric=0.016599053516983986, Number of parameters=46
Combination ID=66: Loss=mse, Metric=mse, Epochs=100, Activation=tanh, Optimizer=rmsprop, Neurons=5, Layers=3, Final training loss=0.013110958971083164, Final validation loss=0.014050757512450218, Final training metric=0.013110958971083164, Final validation metric=0.014050757512450218, Number of parameters=76
Combination ID=67: Loss=mse, Metric=mse, Epochs=100, Activation=tanh, Optimizer=rmsprop, Neurons=10, Layers=1, Final training loss=0.03996974602341652, Final validation loss=0.03391556814312935, Final training metric=0.03996974602341652, Final validation metric=0.03391556814312935, Number of parameters=31
Combination ID=68: Loss=mse, Metric=mse, Epochs=100, Activation=tanh, Optimizer=rmsprop, Neurons=10, Layers=2, Final training loss=0.01229553110897541, Final validation loss=0.014578434638679028, Final training metric=0.01229553110897541, Final validation metric=0.014578434638679028, Number of parameters=141
Combination ID=69: Loss=mse, Metric=mse, Epochs=100, Activation=tanh, Optimizer=rmsprop, Neurons=10, Layers=3, Final training loss=0.01314645353704691, Final validation loss=0.014505277387797832, Final training metric=0.01314645353704691, Final validation metric=0.014505277387797832, Number of parameters=251
Combination ID=70: Loss=mse, Metric=mse, Epochs=100, Activation=tanh, Optimizer=rmsprop, Neurons=20, Layers=1, Final training loss=0.036271534860134125, Final validation loss=0.03130520135164261, Final training metric=0.036271534860134125, Final validation metric=0.03130520135164261, Number of parameters=61
Combination ID=71: Loss=mse, Metric=mse, Epochs=100, Activation=tanh, Optimizer=rmsprop, Neurons=20, Layers=2, Final training loss=0.012514016591012478, Final validation loss=0.014091788791120052, Final training metric=0.012514016591012478, Final validation metric=0.014091788791120052, Number of parameters=481
Combination ID=72: Loss=mse, Metric=mse, Epochs=100, Activation=tanh, Optimizer=rmsprop, Neurons=20, Layers=3, Final training loss=0.014426378533244133, Final validation loss=0.0209657009691, Final training metric=0.014426378533244133, Final validation metric=0.0209657009691, Number of parameters=901
