#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         283     -6.0151    -6.15098   0.0180667
         284    -6.01783    -6.15051   0.0180091
         285    -6.02038    -6.15005   0.0179517
         286    -6.02288    -6.14961   0.0178945
         287    -6.02489    -6.14917   0.0178374
         288    -6.02683    -6.14875   0.0177805
         289    -6.02903    -6.14834   0.0177238
         290    -6.03085    -6.14793   0.0176673
         291    -6.03261    -6.14753   0.0176111
         292    -6.03444    -6.14715    0.017555
         293    -6.03665    -6.14677   0.0174991
         294    -6.03892     -6.1464   0.0174435
         295    -6.04082    -6.14605    0.017388
         296    -6.04262     -6.1457   0.0173328
         297    -6.04404    -6.14535   0.0172778
         298    -6.04537    -6.14502   0.0172231
         299    -6.04721    -6.14469   0.0171686
         300    -6.04835    -6.14437   0.0171143
         301    -6.04955    -6.14405   0.0170604
         302    -6.05051    -6.14375   0.0170067
         303    -6.05151    -6.14344   0.0169533
         304    -6.05242    -6.14314   0.0169002
         305    -6.05369    -6.14285   0.0168473
         306     -6.0544    -6.14256   0.0167947
         307    -6.05487    -6.14227   0.0167425
         308    -6.05554    -6.14199   0.0166905
         309    -6.05596    -6.14171   0.0166388
         310    -6.05643    -6.14144   0.0165874
         311    -6.05681    -6.14117   0.0165363
         312     -6.0571     -6.1409   0.0164855
         313    -6.05713    -6.14063    0.016435
         314    -6.05693    -6.14036   0.0163848
         315    -6.05663     -6.1401   0.0163349
         316    -6.05623    -6.13983   0.0162854
         317     -6.0559    -6.13957   0.0162362
         318    -6.05548     -6.1393   0.0161873
         319    -6.05482    -6.13904   0.0161387
         320    -6.05437    -6.13877   0.0160904
         321    -6.05369    -6.13851   0.0160425
         322    -6.05307    -6.13824   0.0159949
         323    -6.05238    -6.13798   0.0159475
         324     -6.0513    -6.13771   0.0159006
         325       -6.05    -6.13744   0.0158539
         326    -6.04907    -6.13717   0.0158076
         327    -6.04822     -6.1369   0.0157616
         328    -6.04714    -6.13662   0.0157159
         329      -6.046    -6.13635   0.0156706
         330    -6.04479    -6.13607   0.0156256
         331    -6.04337    -6.13579   0.0155809
         332    -6.04187    -6.13551   0.0155365
         333    -6.04062    -6.13522   0.0154925
         334    -6.03901    -6.13493   0.0154487
         335    -6.03673    -6.13464   0.0154054
         336    -6.03501    -6.13434   0.0153624
         337    -6.03308    -6.13404   0.0153198
         338    -6.03125    -6.13374   0.0152775
         339    -6.02953    -6.13343   0.0152355
         340     -6.0276    -6.13312   0.0151939
         341    -6.02548     -6.1328   0.0151526
         342    -6.02332    -6.13248   0.0151117
         343    -6.02141    -6.13216   0.0150711
         344    -6.01932    -6.13183   0.0150308
         345     -6.0172     -6.1315   0.0149909
         346     -6.0152    -6.13116   0.0149514
         347    -6.01271    -6.13082   0.0149122
         348     -6.0105    -6.13048   0.0148733
         349    -6.00857    -6.13013   0.0148348
         350    -6.00647    -6.12977   0.0147966
         351    -6.00435    -6.12942   0.0147588
         352    -6.00206    -6.12906   0.0147213
         353    -5.99946    -6.12869   0.0146842
         354    -5.99776    -6.12832   0.0146474
         355    -5.99545    -6.12794   0.0146109
         356    -5.99315    -6.12757   0.0145747
         357    -5.99099    -6.12718   0.0145389
         358    -5.98915     -6.1268   0.0145034
         359    -5.98656    -6.12641   0.0144683
         360    -5.98399    -6.12601   0.0144335
         361    -5.98114    -6.12561   0.0143991
         362    -5.97876     -6.1252    0.014365
         363    -5.97656    -6.12479   0.0143313
         364    -5.97439    -6.12438   0.0142979
         365    -5.97241    -6.12397   0.0142648
         366    -5.97031    -6.12355    0.014232
         367    -5.96855    -6.12312   0.0141995
         368    -5.96608     -6.1227   0.0141673
         369    -5.96426    -6.12227   0.0141354
         370    -5.96234    -6.12183   0.0141038
         371    -5.96076     -6.1214   0.0140725
         372    -5.95849    -6.12096   0.0140415
         373    -5.95642    -6.12052   0.0140107
         374    -5.95441    -6.12008   0.0139803
         375    -5.95261    -6.11963   0.0139502
         376    -5.95132    -6.11918   0.0139202
         377    -5.94994    -6.11873   0.0138906
         378    -5.94847    -6.11828   0.0138611
         379    -5.94721    -6.11783   0.0138319
         380    -5.94632    -6.11738   0.0138028
         381     -5.9452    -6.11693    0.013774
         382    -5.94399    -6.11648   0.0137454
         383    -5.94255    -6.11602    0.013717
         384    -5.94147    -6.11557   0.0136888
         385    -5.94047    -6.11511   0.0136608
         386    -5.93969    -6.11466    0.013633
         387    -5.93867     -6.1142   0.0136053
         388    -5.93788    -6.11375   0.0135779
         389    -5.93731     -6.1133   0.0135505
         390    -5.93636    -6.11284   0.0135234
         391    -5.93579    -6.11239   0.0134964
         392    -5.93515    -6.11194   0.0134695
         393    -5.93412    -6.11148   0.0134428
         394    -5.93348    -6.11103   0.0134163
         395    -5.93352    -6.11058   0.0133899
         396    -5.93289    -6.11013   0.0133636
         397    -5.93293    -6.10969   0.0133374
