       BLOCK    VELOCITY ACTUAL_POFV    AVE_POFV       ERROR
          16      4.4312           0   0.0566875   0.0213116
          16     4.61976           0   0.0104063  0.00588235
          16     4.80833           0   0.0253438   0.0158677
          16     4.99689           0   0.0256562   0.0146056
          16     5.18545           0  0.00096875 0.000937988
          16     5.37401           0  0.00146875  0.00142211
          16     5.56257           0           0           0
          17   0.0942809       0.004   0.0532647   0.0117897
          17    0.282843       1.057    0.754794   0.0915336
          17    0.471405       3.132     2.08435    0.122327
          17    0.659966      2.6135     3.58174    0.280395
          17    0.848528      5.3955     5.29165    0.335039
          17     1.03709      9.0845     8.03797    0.364853
          17     1.22565       7.538     8.96359    0.377386
          17     1.41421     10.8945      8.9815    0.284622
          17     1.60278      10.704     9.73056    0.315527
          17     1.79134      9.8345     9.84153    0.332018
          17      1.9799      10.899     9.74621    0.392453
          17     2.16846       8.928     9.30129    0.265783
          17     2.35702       5.735     7.00718    0.455061
          17     2.54558      6.1595     6.61991    0.299261
          17     2.73415      4.6175     5.44097    0.344827
          17     2.92271       4.071     3.97897    0.295934
          17     3.11127      2.4385     2.71824    0.184296
          17     3.29983       1.752     2.31012    0.177431
          17     3.48839       1.208     1.53576    0.107273
          17     3.67696      0.5985     1.05815    0.120237
          17     3.86552      0.4445      0.4315   0.0435821
          17     4.05408       0.402    0.250059   0.0476807
          17     4.24264      0.3135    0.156941   0.0523793
          17      4.4312      0.1755   0.0636765    0.021173
          17     4.61976           0  0.00979412  0.00556808
          17     4.80833           0   0.0238529   0.0150042
          17     4.99689           0   0.0241471   0.0138242
          17     5.18545           0 0.000911765 0.000884542
          17     5.37401           0  0.00138235  0.00134108
          17     5.56257           0           0           0
          18   0.0942809      0.4025   0.0726667   0.0218976
          18    0.282843       0.808     0.75775   0.0864961
          18    0.471405      1.5605     2.05525    0.118942
          18    0.659966       3.511     3.57781    0.264845
          18    0.848528      3.7215     5.20442    0.327584
          18     1.03709        7.98     8.03475    0.344597
          18     1.22565     11.1915     9.08736     0.37617
          18     1.41421      12.459     9.17469    0.327886
          18     1.60278      10.388     9.76708    0.300105
          18     1.79134      10.232     9.86322    0.314281
          18      1.9799       9.519     9.73358    0.370853
          18     2.16846       8.311     9.24628    0.256648
          18     2.35702      8.3775     7.08331    0.436101
          18     2.54558       5.709     6.56931    0.286882
          18     2.73415       3.454     5.33058    0.342884
          18     2.92271       3.051     3.92742    0.283948
          18     3.11127      2.4775     2.70486    0.174542
          18     3.29983       1.909     2.28783    0.168967
          18     3.48839      0.9535     1.50342    0.106078
          18     3.67696       1.044     1.05736     0.11356
          18     3.86552      0.3265    0.425667   0.0415494
          18     4.05408       0.422    0.259611   0.0459786
          18     4.24264       0.123    0.155056   0.0495033
          18      4.4312       0.069   0.0639722   0.0199988
          18     4.61976           0     0.00925  0.00528527
          18     4.80833           0   0.0225278    0.014229
          18     4.99689           0   0.0228056   0.0131211
          18     5.18545           0 0.000861111  0.00083685
          18     5.37401           0  0.00130556  0.00126877
          18     5.56257           0           0           0
          19   0.0942809       0.041       0.071   0.0208084
          19    0.282843       0.574    0.748079   0.0824826
          19    0.471405       1.176     2.00897    0.121351
          19    0.659966      4.0905     3.60479    0.252277
          19    0.848528       5.629     5.22676    0.311104
          19     1.03709       9.144     8.09313    0.331369
          19     1.22565     10.1155     9.14147    0.360243
          19     1.41421      8.5765     9.14321    0.312137
          19     1.60278     10.3445     9.79747    0.285844
          19     1.79134     10.6695     9.90566    0.300591
          19      1.9799     10.4505     9.77132    0.353248
          19     2.16846      10.354     9.30458    0.249674
          19     2.35702       5.875     7.01971     0.41776
          19     2.54558      6.8495     6.58405    0.272162
          19     2.73415       5.597     5.34461    0.325124
          19     2.92271       2.715     3.86361    0.276081
          19     3.11127       1.415     2.63697    0.178069
          19     3.29983      1.1565     2.22829    0.170243
          19     3.48839      2.1285     1.53632    0.105474
          19     3.67696       0.323     1.01871    0.113971
          19     3.86552      0.6705    0.438553   0.0413125
          19     4.05408       0.074    0.249842   0.0445844
          19     4.24264      0.0045    0.147132   0.0475278
          19      4.4312       0.007   0.0609737   0.0191697
          19     4.61976       0.013  0.00944737  0.00501078
          19     4.80833      0.0065   0.0216842   0.0135051
          19     4.99689           0   0.0216053   0.0124853
          19     5.18545           0 0.000815789 0.000794031
          19     5.37401           0  0.00123684  0.00120385
          19     5.56257           0           0           0
