SA_step;Energy;Energy_error
51800;-0.449845;0.00611026
51900;-0.446856;0.00871169
52000;-0.450818;0.00692827
52100;-0.450818;0.00692827
52200;-0.449721;0.00633816
52300;-0.445739;0.00657187
52400;-0.446765;0.00622415
52500;-0.44779;0.00802694
52600;-0.44954;0.00697759
52700;-0.44954;0.00697759
52800;-0.44954;0.00697759
52900;-0.44954;0.00697759
53000;-0.447056;0.00614254
53100;-0.446866;0.0072334
53200;-0.44872;0.00636042
53300;-0.444987;0.00721414
53400;-0.445947;0.0077646
53500;-0.4475;0.00593118
53600;-0.449257;0.00628771
53700;-0.444819;0.00855533
53800;-0.450345;0.00636332
53900;-0.447653;0.00839044
54000;-0.434446;0.00977528
54100;-0.447179;0.00596078
54200;-0.446672;0.00702612
54300;-0.444521;0.00666549
54400;-0.446148;0.00607401
54500;-0.445754;0.00808045
54600;-0.448718;0.00745714
54700;-0.448994;0.0064723
54800;-0.448727;0.00606466
54900;-0.446965;0.00888043
55000;-0.449993;0.0062011
55100;-0.450627;0.00524972
55200;-0.450627;0.00524972
55300;-0.447785;0.00577365
55400;-0.445965;0.00868574
55500;-0.448645;0.00757342
55600;-0.445821;0.00913333
55700;-0.450849;0.00684988
55800;-0.44867;0.0077464
55900;-0.445398;0.00660485
56000;-0.443944;0.00664746
56100;-0.445183;0.00585396
56200;-0.443935;0.00809748
56300;-0.448679;0.00831818
56400;-0.448679;0.00831818
56500;-0.450083;0.00562951
56600;-0.443703;0.00612496
56700;-0.443197;0.00816271
56800;-0.449087;0.00548092
56900;-0.445231;0.00750354
57000;-0.44802;0.00735272
57100;-0.449502;0.00845017
57200;-0.449711;0.00655526
57300;-0.449711;0.00655526
57400;-0.449711;0.00655526
57500;-0.436517;0.010389
57600;-0.441338;0.00613127
57700;-0.446429;0.00645328
57800;-0.452278;0.00590773
57900;-0.452278;0.00590773
58000;-0.452278;0.00590773
58100;-0.452278;0.00590773
58200;-0.452278;0.00590773
58300;-0.452278;0.00590773
58400;-0.44391;0.00686348
58500;-0.448538;0.0052427
58600;-0.441159;0.00946856
58700;-0.449839;0.00611329
58800;-0.447682;0.00722964
58900;-0.4431;0.00735881
59000;-0.441916;0.00707574
59100;-0.449609;0.00795384
59200;-0.449609;0.00795384
59300;-0.445581;0.00542046
59400;-0.44927;0.00626205
59500;-0.445761;0.00624358
59600;-0.446382;0.00751309
59700;-0.448254;0.00721566
59800;-0.448891;0.00629121
59900;-0.447245;0.00653702
60000;-0.440854;0.00674923
60100;-0.447465;0.00512126
60200;-0.449006;0.00579508
60300;-0.447751;0.00722128
60400;-0.447751;0.00722128
60500;-0.447751;0.00722128
60600;-0.446778;0.00912061
60700;-0.445742;0.00845798
60800;-0.446946;0.00653143
60900;-0.446326;0.00881211
61000;-0.441253;0.00670998
61100;-0.446389;0.00829684
61200;-0.444214;0.00665444
61300;-0.440738;0.00746995
61400;-0.447829;0.00649435
61500;-0.448577;0.00590014
61600;-0.45047;0.00579658
61700;-0.45047;0.00579658
61800;-0.447928;0.00594428
61900;-0.447334;0.00601408
62000;-0.451319;0.00583037
62100;-0.451319;0.00583037
62200;-0.451319;0.00583037
62300;-0.443202;0.00926131
62400;-0.442345;0.00811002
62500;-0.44348;0.00809851
62600;-0.448131;0.0063494
62700;-0.448261;0.00619488
62800;-0.4445;0.00564663
62900;-0.443797;0.00694357
63000;-0.446932;0.00747142
63100;-0.448627;0.00713335
63200;-0.444963;0.00622387
63300;-0.444162;0.00705086
63400;-0.44048;0.00606517
63500;-0.441126;0.00794159
63600;-0.448999;0.00662866
63700;-0.450574;0.00794425
63800;-0.450574;0.00794425
63900;-0.450574;0.00794425
64000;-0.445162;0.00600994
64100;-0.447598;0.00764467
64200;-0.440616;0.00832179
64300;-0.442931;0.00784329
64400;-0.446251;0.00611372
64500;-0.449578;0.00734308
64600;-0.449578;0.00734308
64700;-0.449578;0.00734308
64800;-0.448313;0.00655443
64900;-0.44941;0.00735635
65000;-0.449863;0.0060998
65100;-0.449863;0.0060998
65200;-0.445152;0.00591137
65300;-0.447869;0.00644904
65400;-0.446306;0.00736998
65500;-0.447748;0.00622102
65600;-0.447351;0.00589538
65700;-0.443276;0.00630274
65800;-0.447444;0.00719091
65900;-0.444177;0.0058617
66000;-0.446909;0.00608814
66100;-0.447684;0.00695033
66200;-0.448004;0.00671674
66300;-0.448458;0.00895471
66400;-0.446426;0.00925614
66500;-0.441885;0.00799566
66600;-0.444383;0.0060764
66700;-0.447752;0.00633047
66800;-0.452277;0.00535163
66900;-0.452277;0.00535163
67000;-0.452277;0.00535163
67100;-0.452277;0.00535163
67200;-0.446201;0.00555344
67300;-0.448092;0.00654774
67400;-0.448743;0.00627753
67500;-0.447367;0.00575945
67600;-0.451621;0.00779048
67700;-0.447836;0.00547897
67800;-0.448222;0.00628302
67900;-0.448222;0.00628302
68000;-0.450281;0.00644898
68100;-0.448263;0.00628105
68200;-0.444641;0.00703773
68300;-0.446267;0.00886345
68400;-0.450749;0.00632316
68500;-0.450749;0.00632316
68600;-0.450749;0.00632316
68700;-0.450749;0.00632316
68800;-0.450749;0.00632316
68900;-0.449856;0.00683641
