SA_step;mu;sigma
1055;0.689725;0.552472
1056;0.716137;0.578781
1057;0.741618;0.568316
1058;0.760678;0.570381
1059;0.773042;0.577122
1060;0.763386;0.566179
1061;0.80127;0.587678
1062;0.796241;0.598366
1063;0.771991;0.622799
1064;0.768436;0.623177
1065;0.742908;0.606229
1066;0.732227;0.629552
1067;0.692423;0.639713
1068;0.68458;0.627179
1069;0.650084;0.633356
1070;0.648938;0.641119
1071;0.617778;0.632589
1072;0.640538;0.660097
1073;0.676318;0.674664
1074;0.713884;0.686954
1075;0.675086;0.679053
1076;0.712079;0.664627
1077;0.711835;0.638643
1078;0.726193;0.653584
1079;0.739416;0.67531
1080;0.702684;0.69388
1081;0.71734;0.665507
1082;0.71734;0.665507
1083;0.7119;0.674578
1084;0.7119;0.674578
1085;0.693816;0.670912
1086;0.717883;0.684296
1087;0.737665;0.697776
1088;0.763844;0.699578
1089;0.741462;0.715593
1090;0.738144;0.711806
1091;0.769697;0.69217
1092;0.735342;0.703926
1093;0.710678;0.720788
1094;0.727457;0.707039
1095;0.70158;0.718926
1096;0.735075;0.694513
1097;0.746885;0.716886
1098;0.778027;0.711126
1099;0.778027;0.711126
1100;0.774459;0.736131
1101;0.740763;0.726291
1102;0.707765;0.744802
1103;0.668763;0.766668
1104;0.664962;0.788204
1105;0.650026;0.775322
1106;0.650026;0.775322
1107;0.654818;0.748598
1108;0.617411;0.759191
1109;0.584605;0.773169
1110;0.613315;0.802993
1111;0.613797;0.776173
1112;0.646127;0.757008
1113;0.625477;0.736986
1114;0.647022;0.71679
1115;0.647022;0.71679
1116;0.657772;0.689401
1117;0.68069;0.672174
1118;0.699268;0.673647
1119;0.677407;0.6472
1120;0.66171;0.672135
1121;0.677399;0.669582
1122;0.639861;0.697878
1123;0.65359;0.699722
1124;0.669041;0.718028
1125;0.633712;0.744025
1126;0.636518;0.738929
1127;0.654628;0.716836
1128;0.616609;0.732954
1129;0.605763;0.726194
1130;0.572344;0.715606
1131;0.555895;0.690563
1132;0.581892;0.714382
1133;0.5948;0.694213
1134;0.600387;0.696542
1135;0.630165;0.709441
1136;0.603323;0.683547
1137;0.631326;0.708817
1138;0.66676;0.679197
1139;0.654671;0.657602
1140;0.635953;0.66541
1141;0.620407;0.680385
1142;0.586557;0.699272
1143;0.601953;0.685012
1144;0.601953;0.685012
1145;0.623419;0.676981
1146;0.627429;0.687598
1147;0.643516;0.661772
1148;0.662393;0.644893
1149;0.689071;0.650569
